Common name (Required)	Scientific name (Required)	Description (Required)	Pictures	Common name synonyms	Scientific synonyms	Family	Origin	Status	Uses	Edibility	Edibility working column	Look-a-likes	Fun Facts	Components go to the right of this column FORMAT: <Component Name> DASH <Component Possibility>, <Component Possibility>, .... LEFT CURLY BRACE isRequired RIGHT CURLY BRACE LEFT CURLY BRACE <Observation Type> RIGHT CURLY BRACE LEFT CURLY BRACE <Data Type> RIGHT CURLY BRACE LEFT CURLY BRACE isFilterable RIGHT CURLY BRACE LEFT CURLY BRACE <Judgement description> RIGHT CURLY BRACE	Flower color- yellow, white, blue, purple, red, orange, pink, green{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{What is the color of the flower?}	Flower arrangement- solitary, head, spike, raceme, umbel, cyme, corymb, panicle{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{What is the flower arrangement?}	Flower symmetry- radial, bilateral{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{What is the flower symmetry}	Number flower parts- 3, 4, 5, 6, more{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{If flower parts are indistinguishable, leave blank.}	Flowering month- Mar, Apr, May, Jun, Jul, Aug, Sept, Oct, Nov{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{In what month does this plant flower?}	Leaf arrangement- alternate, opposite, whorled, basal{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{What is the leaf arrangement?}	Leaf type- simple, trifoliate, palmate, pinnate, bipinnate{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{Please choose a possible leaf type}	Leaf shape- ovate, obovate, lanceolate, cordiform, linear, elliptic, oblong, orbicular, reniform, spatulate, lobed, divided{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{Please choose a possible leaf shape}	Leaf margin- entire, finely toothed, coarsely toothed, doubly toothed, lobed, wavy{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{What is the leaf margin like?}	Petiole present{NO}{DATA_PHOTO}{JUDGEMENT_BOOL}{FILTER}{Is a Petiole present?}	Leaf venation- parallel, branched{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{Parallel or Branched?}	Stem shape- round, square, ridged{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{What is the shape of the stem?}	Stem texture- hairless, hairy, fuzzy, prickly{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{What does the surface of the stem look like?}	Plant height{NO}{DATA_NUMBER}{JUDGEMENT_NUMBER}{FILTER}{What is the height of the plant when in flower?}	Growth form- upright no/few branches, upright branching, sprawling{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{How does the plant grow?}	Distribution- singular, bunches, patches{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{How is the plant distrubuted in the area?}	Cell name{YES}{DATA_TEXT}{JUDGEMENT_TEXT}{DONT_FILTER}{Cell Name, Meters East, Meters North}	Abundance{YES}{DATA_TEXT}{JUDGEMENT_TEXT}{DONT_FILTER}{}
Thimbleweed, Long-headed anemone	Anemone cylindrica	Anemone cylindrica is an upright growing, clump forming herbaceous plant species in the genus Anemone and family Ranunculaceae.  Plants grow 30–100 centimetres (12–39 in) tall, flowering early summer  but often found flowering till late summer, the flowers are  greenish-white. After flowering, the fruits are produced in a dense  rounded columned spikes 20–35 millimetres (0.79–1.4 in) long. When the  fruits, called achenes, are ripe they have gray-white colored, densely  woolly styles, that allow them to blow away in the wind.				Buttercup (Ranunculaceae)	native	hazardous							white, yellow	head	radial	5, 6	Jun, Jul, Aug	whorled	palmate, trifoliate	divided, lobed	lobed	yes	branched	round	hairy, fuzzy	69, 20	upright no/few branches, upright branching	bunches, singular		
Common burdock, Lesser burdock	Arctium minus	Arctium minus, commonly known as lesser burdock, burweed, louse-bur, common burdock,[1] button-bur, cuckoo-button,[1] or wild rhubarb,[2] is a biennial plant. This plant is native to Europe, but is now widespread throughout most of the United States as a common weed. Characteristics: It can grow up to 1.5 meters (1 to 5 feet) tall and  form multiple branches. It is large and bushy. Flowers are prickly and  pink to lavender in color. Flower heads are about 3/4 inches (2 cm)  wide. The plant flowers from July through October. The flowers resemble  and can be easily mistaken for thistles, but burdock can be  distinguished by its extremely large (up to 50 cm) leaves and its hooked  bracts.  Leaves are long and ovate. Lower leaves are heart-shaped and have very  wavy margins. Leaves are dark green above and woolly below. It grows an  extremely deep taproot, up to 30 cm (12 in) into the ground. Lesser Burdock produces purple flowers in its second year of growth,  from July to October. Outer bracts end in hooks that are like Velcro. After the flower head dries, the hooked bracts will attach to humans and animals in order to transport the entire seedhead. 			Lappa minor	Aster, Daisy (Asteraceae)	nonnative	invasive		Used as salad, cooked vegetable, pot herb, soup, confection.					pink, purple	raceme, corymb	bilateral	more	Jul, Aug, Sept, Oct	basal, alternate	simple	cordiform	entire, wavy	yes	branched	ridged	fuzzy	89, 38	upright no/few branches, upright branching	singular		
Pale indian-plantain	Arnoglossum atriplicifolium	Pale Indian Plantain (Arnoglossum atriplicifolium) is a perennial North American wild flower from the family Asteraceae. It is widely distributed through the eastern states of the United States, but it is listed as endangered in the state of New Jersey.			Cacalia atriplicifolia, Cacalia rotundifolia, Mesadenia atriplicifolia	Aster, Daisy (Asteraceae)	native								white, yellow, green	umbel	radial	more	Jul, Aug, Sept	alternate, basal	simple	cordiform	lobed, wavy	yes	branched	ridged, round	hairless	157, 25	upright no/few branches	singular		
Prairie indian-plantain	Arnoglossum plantagineum	Arnoglossum plantagineum also known as groovestem Indian plantain is a species of Arnoglossum and the family Asteraceae.			Cacalia paniculata, Cacalia plantaginea, Cacalia pteranthes, Cacalia tuberosa, Mesadenia tuberosa	Aster, Daisy (Asteraceae)	native	threatened							white, yellow, green	umbel	radial	more	Jul, Aug	basal, alternate	simple	obovate, elliptic	entire	yes	parallel, branched	ridged	hairless	122, 30	upright no/few branches	singular		
Great indian-plantain, Maple-leaf indian-plantain	Arnoglossum reniforme				Arnoglossum muhlenbergii, Cacalia muhlenbergii, Cacalia reniformis, Mesadenia reniformis, Mesadenia muhlenbergii, Senecio atriplicifolius, Senecio muhlenbergii	Aster, Daisy (Asteraceae)	native	special concern							white, yellow, green	umbel	radial	more	Jul, Aug, Sept	basal, alternate	simple	cordiform	coarsely toothed, lobed	yes	branched	ridged	hairless	157, 25	upright no/few branches	singular		
Louisiana sagewort, Western mugwort, White sage	Artemisia ludoviciana	Artemisia ludoviciana, syn. A. palmeri, A. purshiana, is a species in the genus Artemisia of the family Asteraceae, known by several common names, including silver wormwood, western mugwort, Louisiana wormwood, white sagebrush, and gray sagewort. It is native  to North America where it is widespread coast to coast, but many  subspecies are found only in the western United States. This is a rhizomatous perennial plant  growing to heights between 30 centimeters and one meter. The stems bear  linear leaves up to 11 centimeters long. The stems and foliage are  covered in woolly gray or white hairs. The top of the stem is occupied  by a narrow inflorescence of many nodding flower heads. Each small head is a cup of hairy phyllaries surrounding a center of yellowish disc florets and is about half a centimeter wide. The fruit is a minute achene. This plant was used by many Native American groups for a variety of medicinal, veterinary, and ceremonial purposes.[1]			Artemisia brittonii, Artemisia diversifolia, Artemisia gnaphalodes, Artemisia herriotii, Artemisia pabularis, Artemisia purshiana, Artemisia rhizomata, Artemisia vulgaris	Aster, Daisy (Asteraceae)	native			Can be poisonous in large doses. Labeled as an unsafe herb by the FDA.					white, green	spike	radial	more	Jul, Aug, Sept, Oct	alternate	simple	lobed, elliptic, lanceolate	lobed, coarsely toothed, entire	no	branched	round, ridged	hairless, fuzzy	86, 23	upright no/few branches	singular, patches		
Clasping milkweed, Clam milkweed, Blunt-leaved milkweed	Asclepias amplexicaulis	Asclepias amplexicaulis (Blunt-leaved Milkweed, Clasping Milkweed) is a species of milkweed, in the subfamily Asclepiadaceae,[1] which is cited as a wildflower native to the United States,[2]  mostly found in Central and Eastern areas and grown in the spring time.  It is found growing in dry fields and open woods, usually in sandy soil  and 1–3 feet in height.[3] It contains a poison dangerous to humans and livestock, special care must be taken when using this plant.[4]				Milkweed (Asclepiadaceae)	native	hazardous		Raw shoots may be poisonous.					pink, purple, white	umbel	radial	5	Jun, Jul	opposite	simple	oblong, ovate	wavy, entire	no	branched	round	hairless	76, 18	upright no/few branches	singular		
Tall green milkweed, Prairie milkweed	Asclepias hirtella				Asclepias longifolia	Milkweed (Asclepiadaceae)	native	hazardous		Raw shoots may be poisonous.					pink, purple, white	umbel	radial	5	Jun, Jul, Aug	opposite, alternate	simple	linear, lanceolate	entire	yes	branched	round	fuzzy, hairless	91, 30	upright no/few branches	singular		
Swamp milkweed	Asclepias incarnata	Swamp milkweed is an upright, 100- to 150-centimeter (39- to 59-inches) tall plant, growing from thick, fleshy, white roots. Typically, its stems  are branched and the clump forming plants emerge in late spring after  most other plants have begun growth for the year. The oppositely  arranged leaves are 7 to 15 centimeters (2.75 to 6 inches) long and are  narrow and lance-shaped, with the ends tapering to a sharp point. The plants bloom in early to mid-summer, producing small, fragrant, pink to mauve (sometimes white) colored flowers in rounded umbels.  The flower color may vary from darker shades of purple to soft, pinkish  purple and a white flowering form exists as well. The flowers have five  reflexed petals and an elevated central crown. After blooming, green  seed pods, approximately 12 centimeters (4.5 inches) long, are produced  that when ripe, split open. They then release light to dark brown, flat seeds  that are attached to silver-white silky-hairs ideal for catching the  wind. This natural mechanism for seed dispersal is similar to that used  by other milkweed plants.[4]				Milkweed (Asclepiadaceae)	native	hazardous		Can be poisonous.  Sugar solution obtained from flowers.  Young pods used as pot herb, cooked vegetable, and chewing gum.			Shoots used as chewing gum (can be poisonous). 		pink, purple, red, white	umbel	radial	5	Jul, Aug	opposite	simple	lanceolate, linear	entire	yes	branched	round	hairless, fuzzy	132, 28	upright no/few branches	singular		
Mead's milkweed	Asclepias meadii	This is a rhizomatous perennial herb with a waxy erect stem growing up to about 40 centimeters tall. Blue-green, herringbone-patterned  leaves occur in opposite pairs about the stem. The lance-shaped blades  are smooth and sometimes wavy along the edges, and measure up to 8  centimeters long. The inflorescence is a nodding umbel  of 6 to 23 fragrant flowers. Each flower has five petals up to a  centimeter long which are green or purple-tinged when new and grow paler  as they age. Behind them are five reflexed sepals. The flowers are nectar-rich[2] and are pollinated by digger bees (Anthophora spp.), bumblebees (Bombus spp.),[3] and other bees. The fruit is a follicle  up to 8 centimeters long containing hairy seeds. The species is  long-lived, taking at least four years to reach sexual maturity and  living for several decades,[3] possibly over a century.[				Milkweed (Asclepiadaceae)	native	extirpated (rooted out; has been replanted in few areas), hazardous		Can be poisonous. 					pink, purple, white	umbel	radial	5		opposite	simple	lanceolate, linear	entire	no	branched	round	hairless, fuzzy	41, 20	upright no/few branches	singular		
Purple milkweed	Asclepias purpurascens	Purple milkweed (Asclepias purpurascens) is a herbaceous plant species. It is in the genus Asclepias, making it a type of milkweed. It is native to the Eastern, Southern and Midwestern United States similar to the range of the Common Milkweed (Asclepias syriaca). The plant gets its name from the flowers that first develop a pink color but then turn darker purple as they mature.				Milkweed (Asclepiadaceae)	native	endangered, hazardous		Can be poisonous. 					pink, purple, red, white	umbel	radial	5	Jun, Jul, Aug	opposite	simple	elliptic, oblong	entire	yes	branched	round	hairless, fuzzy	84, 23	upright no/few branches	singular		
Prairie milkweed, Smooth milkweed	Asclepias sullivantii	The Prairie Milkweed, Asclepias sullivantii, is a specific species of the milkweed. It can also be referred to by its common names, prairie milkweed, sullivant's milkweed, and smooth milkweed. A. sullivantii can be found mostly around the Midwest region of the United States.[1]  It is a native perennial that has an average height of 1-3 feet. The  species has pink flowers that bloom in the months of June, July and  August. A. sullivantii is not edible and can be toxic to humans and animals.[2]				Milkweed (Asclepiadaceae)	native	threatened, hazardous		Can be poisonous. 					pink, purple, white	umbel	radial	5	Jun, Jul, Aug	opposite	simple	elliptic, oblong	entire	no	branched	round	hairless	97, 18	upright no/few branches	singular		
Common milkweed, Silkweed	Asclepias syriaca	Asclepias syriaca, commonly called common milkweed, butterfly flower, silkweed, silky swallow-wort, and Virginia silkweed, is a species of flowering plant. It is in the genus Asclepias, the milkweeds.  This species is native to most of North America east of the Rocky  Mountains, excluding the drier parts of the Prairies. It grows in sandy  soils and sunny areas. It was one of the earliest North American species  described in Cornut's 1635 work Canadensium Plantarum Historia. The specific name was reused by Linnaeus due to Cornut's confusion with a species from Asia Minor. Common milkweed is a perennial herb growing to 1–2 m tall from a rhizome.  The stem and all parts of the plants produce a white latex when broken.  The leaves are opposite, simple broad ovate-lanceolate, 7–25 cm long  and 3–12 cm broad, usually with an undulate margin and a red-colored  main vein. They have very short petioles and velvety undersides. The fragrant flowers are grouped in several spherical umbels.  The individual flowers are 1–2 cm in diameter with five cornate hoods.  The seeds have long, white, flossy hairs and are encased in large follicles.			Asclepias intermedia, Asclepias kansana, 	Milkweed (Asclepiadaceae)	native	hazardous		Can be poisonous but this is the most common milkweed used for cooking. Can garner sugar from flowers.  Young pods used as pot herb, cooked vegetable, sugar, and chewing gum.					pink, purple, white	umbel	radial	5	Jun, Jul, Aug	opposite	simple	elliptic, oblong	entire	yes	branched	round	hairless	155, 30	upright no/few branches	singular, patches		
Butterfly milkweed	Asclepias tuberosa	Asclepias tuberosa is a species of milkweed native to eastern North America. It is a perennial plant growing to 0.3–1 metre (10 in–3 ft  3 in) tall, with clustered orange or yellow flowers from early summer to early fall. The leaves are spirally arranged, lanceolate, 5–12 cm long, and 2–3 cm broad. This plant favors dry, sand or gravel soil, but has also been reported on stream margins. It requires full sun. It is commonly known as Butterfly Weed because of the butterflies that are attracted to the plant by its color and its copious production of nectar. It is also the larval food plant of the Queen and Monarch butterflies. Hummingbirds, bees and other insects are also attracted.[2] Extracts were used by Native Americans as an expectorant for wet coughs and other pulmonary ailments.[citation needed] Use of the herb is contraindicated in pregnancy, during lactation or with infants due to the small amount of cardiac glycosides.				Milkweed (Asclepiadaceae)	native	hazardous		Raw shoots may be poisonous.  Roots are poisonous.					orange	umbel	radial	5	Jul, Aug, Sept	alternate	simple	elliptic, oblong	entire	yes	branched	round	hairy, fuzzy	69, 20	upright branching	singular		
Smooth blue aster	Aster laevis				Symphyotrichum laeve	Aster, Daisy (Asteraceae)	native								blue, purple	panicle	radial	more	Aug, Sept, Oct	alternate	simple	lanceolate	entire	no	branched	round	hairless	122, 33	upright no/few branches, upright branching	singular, bunches		
Panicled aster, Eastern-lined aster	Aster lanceolatus				Symphyotrichum lanceolatum	Aster, Daisy (Asteraceae)	native								blue, white, purple	panicle	radial	more	Aug, Sept, Oct	alternate	simple	lanceolate, linear	entire, finely toothed	no	branched	round	hairy	132, 38	upright no/few branches, upright branching	singular, bunches		
New England aster	Aster novae-angliae	The plant grows up to 120 cm (47 inches) with a stout, hairy stem and lance-shaped leaves with entire margins. The flower heads are showy with yellow disc florets at the center and ray florets that range from a deep purple or rose to rarely white. This species inhabits a wide variety of habitats and soil types, though it does not tolerate strong shade.			Aster roseus, Lasallea novae-angliae, Symphyotrichum novae-angliae, Virgulus novae-angliae	Aster, Daisy (Asteraceae)	native								blue, white, purple, red	panicle	radial	more	Aug, Sept, Oct, Nov	alternate	simple	lanceolate, linear	entire	no	branched	round	hairy	132, 38	upright no/few branches, upright branching	singular, bunches		
Sky-blue aster, Azure aster	Aster oolentangiensis				Aster azureus, Aster oolentangiensis, Symphyotrichum oolentangiense	Aster, Daisy (Asteraceae)	native								blue, pink, purple	panicle	radial	more	Aug, Sept, Oct	alternate	simple	lanceolate, cordiform	entire	yes, no	branched	round	hairy, fuzzy, hairless	84, 30	upright no/few branches, upright branching	singular, bunches		
Silky aster, Western silvery aster	Aster sericeus	The Symphyotrichum sericeum plant is distinctive in the wild  due to the silky texture; no other American aster is sericeous  throughout. This is a perennial herb growing from rhizomes.  The stem is erect, sometimes branching. It is sericeous (silky)  throughout, giving the stem a silvery-grey appearance. Basal leaves are  oblanceolate in shape and have petioles.  Cauline leaves, those growing along the stem, are ovate to  ovate-lanceolate in shape, with alternate attachment to stem, sessile,  acuminate at the base, acute at the tip. Leaf margins are entire, or  smooth and lacking teeth or serration. Leaf texture is sericeous  adaxally (above) and abaxally (below), giving the leaves a silvery-grey  appearance. Compared to other American asters, the flowers appear disproportionately large for the plant's size. The inflorescence is terminal, occurring at the top of the stem, and consists of a single head. The involucre is ovate to lanceolate in shape and sericeous. Ray flowers are blue and fertile. Disc flowers are white, with stamens yellow to brown. The fruit is an achene.			Lasallea sericea, Virgulus sericeus, Symphyotrichum sericeum	Aster, Daisy (Asteraceae)	native								blue, pink, purple	raceme, panicle	radial	more	Aug, Sept, Oct	alternate	simple	oblong, lanceolate	entire	no	branched	round	fuzzy, hairy	30, 13	upright branching	singular		
